Title,Contest ID,Problem ID,Difficulty,Tags
Lisa and the Martians,1851,F,N/A,"bitmasks, greedy, math, strings, trees"
Nastya and Potions,1851,E,N/A,"dfs and similar, dp, graphs, sortings"
Prefix Permutation Sums,1851,D,N/A,"implementation, math"
Tiles Comeback,1851,C,N/A,greedy
Parity Sort,1851,B,N/A,"greedy, sortings, two pointers"
Escalator Conversations,1851,A,N/A,"brute force, constructive algorithms, math"
The Third Letter,1850,H,N/A,"dfs and similar, dsu, graphs, greedy, implementation"
The Morning Star,1850,G,N/A,"combinatorics, data structures, geometry, implementation, math, sortings"
We Were Both Children,1850,F,N/A,"brute force, implementation, math, number theory"
Cardboard for Pictures,1850,E,N/A,"binary search, geometry, implementation, math"
Balanced Round,1850,D,N/A,"brute force, greedy, implementation, sortings"
Word on the Paper,1850,C,N/A,"implementation, strings"
Ten Words of Wisdom,1850,B,N/A,"implementation, sortings"
To My Critics,1850,A,N/A,"implementation, sortings"
XOR Partition,1849,F,N/A,"binary search, bitmasks, data structures, divide and conquer, greedy, trees"
Max to the Right of Min,1849,E,N/A,"binary search, data structures, divide and conquer, dp, dsu, two pointers"
Array Painting,1849,D,N/A,"constructive algorithms, greedy, two pointers"
Binary String Copying,1849,C,N/A,"binary search, brute force, data structures, hashing, strings"
Monsters,1849,B,N/A,"greedy, math, sortings"
Morning Sandwich,1849,A,N/A,"implementation, math"
Vika and Wiki,1848,F,N/A,"binary search, bitmasks, combinatorics, divide and conquer, dp, math"
Vika and Stone Skipping,1848,E,N/A,"brute force, implementation, math, number theory"
Vika and Bonuses,1848,D,N/A,"binary search, brute force, math, ternary search"
Vika and Price Tags,1848,C,N/A,"math, number theory"
Vika and the Bridge,1848,B,N/A,"binary search, data structures, greedy, implementation, math, sortings"
Vika and Her Friends,1848,A,N/A,"games, math"
The Boss's Identity,1847,F,N/A,"binary search, bitmasks, data structures, dfs and similar, greedy, math, sortings"
Triangle Platinum?,1847,E,N/A,"brute force, combinatorics, implementation, interactive, math, probabilities"
Professor Higashikata,1847,D,N/A,"data structures, dsu, greedy, implementation, strings"
"Vampiric Powers, anyone?",1847,C,N/A,"bitmasks, brute force, dp, greedy"
Hamon Odyssey,1847,B,N/A,"bitmasks, greedy, two pointers"
The Man who became a God ,1847,A,N/A,"greedy, sortings"
Rudolf and CodeVid-23,1846,G,N/A,"bitmasks, dp, graphs, greedy, shortest paths"
Rudolph and Mimic,1846,F,N/A,"constructive algorithms, implementation, interactive"
Rudolf and Snowflakes (hard version),1846,E2,N/A,"binary search, brute force, implementation, math"
Rudolf and Snowflakes (simple version),1846,E1,N/A,"brute force, implementation, math"
Rudolph and Christmas Tree,1846,D,N/A,"constructive algorithms, geometry, math"
Rudolf and the Another Competition,1846,C,N/A,"constructive algorithms, data structures, dp, greedy, sortings"
Rudolph and Tic-Tac-Toe,1846,B,N/A,"brute force, implementation, strings"
Rudolph and Cut the Rope ,1846,A,N/A,"implementation, math"
Swimmers in the Pool,1845,F,N/A,"dp, fft, math, number theory"
Boxes and Balls,1845,E,N/A,"dp, implementation, math"
Rating System,1845,D,N/A,"binary search, brute force, data structures, dp, dsu, greedy, math, two pointers"
Strong Password,1845,C,N/A,"binary search, dp, greedy, strings"
Come Together,1845,B,N/A,"geometry, implementation, math"
Forbidden Integer,1845,A,N/A,"constructive algorithms, implementation, math, number theory"
Multiple of Three Cycles,1844,H,N/A,"combinatorics, data structures, dp, dsu, math"
Tree Weights,1844,G,N/A,"bitmasks, constructive algorithms, data structures, dfs and similar, implementation, math, matrices, number theory, trees"
Min Cost Permutation (Hard Version),1844,F2,N/A,"binary search, constructive algorithms, data structures, greedy, math, sortings"
Min Cost Permutation (Easy Version),1844,F1,N/A,"brute force, constructive algorithms, greedy, math"
Great Grids,1844,E,N/A,"2-sat, constructive algorithms, dfs and similar, dsu, graphs"
Row Major,1844,D,N/A,"constructive algorithms, greedy, math, number theory, strings"
Particles,1844,C,N/A,"dp, greedy, implementation, math"
Permutations & Primes,1844,B,N/A,"constructive algorithms, math"
Subtraction Game,1844,A,N/A,"constructive algorithms, games"
Omsk Metro (hard version),1843,F2,N/A,"data structures, dfs and similar, divide and conquer, dp, math, trees"
Omsk Metro (simple version),1843,F1,N/A,"data structures, dfs and similar, dp, graphs, greedy, math, trees"
Tracking Segments,1843,E,N/A,"binary search, brute force, data structures, two pointers"
Apple Tree,1843,D,N/A,"combinatorics, dfs and similar, dp, math, trees"
Sum in Binary Tree,1843,C,N/A,"bitmasks, combinatorics, math, trees"
Long Long,1843,B,N/A,"greedy, math, two pointers"
Sasha and Array Coloring,1843,A,N/A,"greedy, sortings, two pointers"
Tenzing and Necklace,1842,I,N/A,"divide and conquer, dp, greedy"
Tenzing and Random Real Numbers,1842,H,N/A,"bitmasks, dp, graphs, math, probabilities"
Tenzing and Random Operations,1842,G,N/A,"combinatorics, dp, math, probabilities"
Tenzing and Tree,1842,F,N/A,"dfs and similar, greedy, shortest paths, sortings, trees"
Tenzing and Triangle,1842,E,N/A,"data structures, dp, geometry, greedy, math"
Tenzing and His Animal Friends ,1842,D,N/A,"constructive algorithms, graphs, greedy"
Tenzing and Balls,1842,C,N/A,dp
Tenzing and Books,1842,B,N/A,"bitmasks, greedy, math"
Tenzing and Tsondu,1842,A,N/A,"games, math"
Monocarp and a Strategic Game,1841,F,N/A,"geometry, sortings, two pointers"
Fill the Matrix,1841,E,N/A,"data structures, greedy, math"
Pairs of Segments,1841,D,N/A,"data structures, greedy, sortings, two pointers"
Ranom Numbers,1841,C,N/A,"brute force, dp, greedy, math, strings"
Keep it Beautiful,1841,B,N/A,implementation
Game with Board,1841,A,N/A,"constructive algorithms, games"
In Search of Truth (Hard Version),1840,G2,N/A,"constructive algorithms, interactive, math, meet-in-the-middle, probabilities"
In Search of Truth (Easy Version),1840,G1,N/A,"constructive algorithms, interactive, math, meet-in-the-middle, probabilities"
Railguns,1840,F,N/A,"brute force, dfs and similar, dp, graphs"
Character Blocking,1840,E,N/A,"data structures, hashing, implementation"
Wooden Toy Festival,1840,D,N/A,"binary search, greedy, sortings"
Ski Resort,1840,C,N/A,"combinatorics, math, two pointers"
Binary Cafe,1840,B,N/A,"bitmasks, combinatorics, math"
Cipher Shifer,1840,A,N/A,"implementation, strings, two pointers"
Decreasing Game,1839,E,N/A,"constructive algorithms, dfs and similar, dp, greedy, interactive"
Ball Sorting,1839,D,N/A,"data structures, dp, sortings"
Insert Zero and Invert Prefix,1839,C,N/A,constructive algorithms
Lamps,1839,B,N/A,"greedy, sortings"
The Good Array,1839,A,N/A,"greedy, implementation, math"
Stuck Conveyor,1838,F,N/A,"binary search, constructive algorithms, interactive"
Count Supersequences,1838,E,N/A,"combinatorics, dp, math"
Bracket Walk,1838,D,N/A,"data structures, greedy, strings"
No Prime Differences,1838,C,N/A,"constructive algorithms, math, number theory"
Minimize Permutation Subarrays,1838,B,N/A,"constructive algorithms, math"
Blackboard List,1838,A,N/A,"constructive algorithms, math"
Editorial for Two,1837,F,N/A,"binary search, data structures, greedy, implementation"
Playoff Fixing,1837,E,N/A,"combinatorics, trees"
Bracket Coloring,1837,D,N/A,"constructive algorithms, greedy"
Best Binary String,1837,C,N/A,"constructive algorithms, greedy"
Comparison String,1837,B,N/A,greedy
Grasshopper on a Line,1837,A,N/A,"constructive algorithms, math"
Astrophysicists,1836,B,N/A,"greedy, math"
Destroyer,1836,A,N/A,"implementation, sortings"
Good Graph,1835,F,N/A,"bitmasks, dfs and similar, graph matchings, graphs, implementation"
Old Mobile,1835,E,N/A,"combinatorics, dp, probabilities"
Doctor's Brown Hypothesis,1835,D,N/A,"dfs and similar, graphs, math, number theory"
Twin Clusters,1835,C,N/A,"bitmasks, brute force, constructive algorithms, math, probabilities"
Lottery,1835,B,N/A,"binary search, brute force, greedy, math, two pointers"
k-th equality,1835,A,N/A,"brute force, implementation, math"
Typewriter,1834,F,N/A,"brute force, math"
MEX of LCM,1834,E,N/A,"binary search, data structures, implementation, math, number theory"
Survey in Class,1834,D,N/A,"brute force, data structures, greedy, implementation, sortings"
Game with Reversing,1834,C,N/A,"games, greedy, math, strings"
Maximum Strength,1834,B,N/A,"greedy, math"
Unit Array,1834,A,N/A,"greedy, math"
Ksyusha and Chinchilla,1833,G,N/A,"constructive algorithms, dfs and similar, dp, dsu, greedy, implementation, trees"
Ira and Flamenco,1833,F,N/A,"combinatorics, constructive algorithms, data structures, implementation, math, sortings, two pointers"
Round Dance,1833,E,N/A,"dfs and similar, dsu, graphs, shortest paths"
Flipper,1833,D,N/A,"brute force, constructive algorithms, greedy"
Vlad Building Beautiful Array,1833,C,N/A,"greedy, math"
Restore the Weather,1833,B,N/A,"greedy, sortings"
Musical Puzzle,1833,A,N/A,"implementation, strings"
Zombies,1832,F,N/A,"binary search, dp"
Combinatorics Problem,1832,E,N/A,"brute force, combinatorics, dp"
Red-Blue Operations (Hard Version),1832,D2,N/A,"binary search, constructive algorithms, greedy, implementation, math"
Red-Blue Operations (Easy Version),1832,D1,N/A,"binary search, greedy, implementation, math"
Contrast Value,1832,C,N/A,"greedy, implementation"
Maximum Sum,1832,B,N/A,"brute force, sortings, two pointers"
New Palindrome,1832,A,N/A,strings
Array merging,1831,B,N/A,"constructive algorithms, greedy"
Twin Permutations,1831,A,N/A,constructive algorithms
The Third Grace,1830,F,N/A,"data structures, dp"
Bully Sort,1830,E,N/A,"data structures, math"
Mex Tree,1830,D,N/A,"brute force, dp, trees"
Hyperregular Bracket Strings,1830,C,N/A,"combinatorics, greedy, hashing, math, number theory, sortings"
The BOSS Can Count Pairs,1830,B,N/A,"brute force, math"
Copil Copac Draws Trees,1830,A,N/A,"dfs and similar, dp, graphs, trees"
Don't Blame Me,1829,H,N/A,"bitmasks, combinatorics, dp, math"
Hits Different,1829,G,N/A,"data structures, dp, implementation, math"
Forever Winter,1829,F,N/A,"dfs and similar, graphs, math"
The Lakes,1829,E,N/A,"dfs and similar, dsu, graphs, implementation"
Gold Rush,1829,D,N/A,"brute force, dfs and similar, dp, implementation"
Mr. Perfectly Fine,1829,C,N/A,"bitmasks, greedy, implementation"
Blank Space,1829,B,N/A,implementation
Love Story,1829,A,N/A,"implementation, strings"
Permutation Swap,1828,B,N/A,"math, number theory"
Divisible Array,1828,A,N/A,"constructive algorithms, math"
Copium Permutation,1827,F,N/A,"constructive algorithms, data structures, greedy"
Bus Routes,1827,E,N/A,"binary search, constructive algorithms, dfs and similar, greedy, trees"
Two Centroids,1827,D,N/A,"data structures, dfs and similar, greedy, trees"
Palindrome Partition,1827,C,N/A,"binary search, brute force, data structures, dp, hashing, strings"
Range Sorting (Hard Version),1827,B2,N/A,"binary search, data structures, dp, greedy"
Range Sorting (Easy Version),1827,B1,N/A,"binary search, dp, dsu, greedy, trees, two pointers"
Counting Orders,1827,A,N/A,"combinatorics, math, sortings, two pointers"
Fading into Fog,1826,F,N/A,"geometry, interactive, math, probabilities"
Walk the Runway,1826,E,N/A,"bitmasks, brute force, data structures, dp, graphs, implementation, sortings"
Running Miles,1826,D,N/A,"brute force, dp, greedy"
Dreaming of Freedom,1826,C,N/A,"greedy, math, number theory"
Lunatic Never Content,1826,B,N/A,"math, number theory"
Trust Nobody,1826,A,N/A,"brute force, greedy, implementation, sortings"
LuoTianyi and the Table,1825,B,N/A,"greedy, math"
LuoTianyi and the Palindrome String,1825,A,N/A,"greedy, strings"
LuoTianyi and Cartridge,1824,E,N/A,"data structures, trees"
LuoTianyi and the Function,1824,D,N/A,data structures
LuoTianyi and XOR-Tree,1824,C,N/A,"data structures, dfs and similar, dp, dsu, greedy, trees"
LuoTianyi and the Floating Islands (Hard Version),1824,B2,N/A,"combinatorics, dfs and similar, math, probabilities, trees"
LuoTianyi and the Floating Islands (Easy Version),1824,B1,N/A,"combinatorics, math, probabilities, trees"
LuoTianyi and the Show,1824,A,N/A,"greedy, implementation"
Random Walk,1823,F,N/A,"dp, graphs, math, probabilities, trees"
Removing Graph,1823,E,N/A,"brute force, dp, games, graphs, math"
Unique Palindromes,1823,D,N/A,"constructive algorithms, math, strings"
Strongly Composite,1823,C,N/A,"greedy, math, number theory"
Sort with Step,1823,B,N/A,"brute force, math, sortings"
A-characteristic,1823,A,N/A,"combinatorics, constructive algorithms, math"
Magic Triples (Hard Version),1822,G2,N/A,"brute force, data structures, math, number theory"
Magic Triples (Easy Version),1822,G1,N/A,"brute force, data structures, math, number theory"
Gardening Friends,1822,F,N/A,"brute force, dfs and similar, dp, graphs, trees"
Making Anti-Palindromes,1822,E,N/A,"greedy, math, strings"
Super-Permutation,1822,D,N/A,"constructive algorithms, math"
Bun Lover,1822,C,N/A,math
Karina and Array,1822,B,N/A,"greedy, math, sortings"
TubeTube Feed,1822,A,N/A,"brute force, implementation"
Timber,1821,F,N/A,"combinatorics, dp, fft, math"
Rearrange Brackets,1821,E,N/A,"brute force, dp, greedy, sortings, strings"
Black Cells,1821,D,N/A,"binary search, brute force, greedy, math"
Tear It Apart,1821,C,N/A,"brute force, implementation, math, strings"
Sort the Subarray,1821,B,N/A,"brute force, greedy"
Matching,1821,A,N/A,"combinatorics, math"
JoJo's Incredible Adventures,1820,B,N/A,"math, strings, two pointers"
Yura's New Name,1820,A,N/A,"implementation, strings"
"Willy-nilly, Crack, Into Release!",1819,F,N/A,"data structures, dp"
Roads in E City,1819,E,N/A,"interactive, math, probabilities, trees"
Misha and Apples,1819,D,N/A,"brute force, data structures, dp, two pointers"
The Fox and the Complete Tree Traversal,1819,C,N/A,"constructive algorithms, dp, implementation, math, trees"
The Butcher,1819,B,N/A,"geometry, greedy, implementation, sortings, two pointers"
Constructive Problem,1819,A,N/A,"brute force, greedy"
Indivisible,1818,B,N/A,constructive algorithms
Politics,1818,A,N/A,"greedy, implementation"
Entangled Substrings,1817,F,N/A,"string suffix structures, strings"
Half-sum,1817,E,N/A,"brute force, divide and conquer, greedy"
Toy Machine,1817,D,N/A,"constructive algorithms, games, implementation"
Similar Polynomials,1817,C,N/A,"combinatorics, math"
Fish Graph,1817,B,N/A,"brute force, constructive algorithms, dfs and similar, graphs"
Almost Increasing Subsequence,1817,A,N/A,"binary search, data structures, greedy"
Grid Reconstruction,1816,B,N/A,"constructive algorithms, greedy"
Ian Visits Mary,1816,A,N/A,"constructive algorithms, geometry, number theory"
OH NO1 (-2-3-4),1815,F,N/A,"constructive algorithms, graphs, math"
Bosco and Particle,1815,E,N/A,"dp, math, number theory, strings"
XOR Counting,1815,D,N/A,"bitmasks, combinatorics, dp, math"
Between,1815,C,N/A,"constructive algorithms, dfs and similar, graphs, greedy"
Sum Graph,1815,B,N/A,"brute force, constructive algorithms, graphs, implementation, interactive, shortest paths, trees"
Ian and Array Sorting,1815,A,N/A,"greedy, math"
Communication Towers,1814,F,N/A,"brute force, divide and conquer, dsu"
Chain Chips,1814,E,N/A,"data structures, dp, matrices"
Balancing Weapons,1814,D,N/A,"binary search, brute force, data structures, math, two pointers"
Search in Parallel,1814,C,N/A,"constructive algorithms, greedy, sortings"
Long Legs,1814,B,N/A,"brute force, math"
Coins,1814,A,N/A,"implementation, math"
Unmysterious Language,1812,J,N/A,"*special, constructive algorithms, strings"
Mountain Climber,1812,I,N/A,*special
Expected Twist,1812,H,N/A,"*special, interactive"
Colour Vision,1812,G,N/A,"*special, implementation"
Factorization,1812,F,N/A,"*special, number theory"
Not a Geometry Problem,1812,E,N/A,"*special, *special, constructive algorithms, geometry, math"
Trivial Conjecture,1812,D,N/A,"*special, constructive algorithms, math, number theory"
Digits,1812,C,N/A,*special
Was it Rated?,1812,B,N/A,"*special, *special, *special, brute force, implementation"
Are You a Robot?,1812,A,N/A,"*special, *special, *special, expression parsing, strings"
Vlad and the Nice Paths (hard version),1811,G2,N/A,"binary search, combinatorics, data structures, dp, math, two pointers"
Vlad and the Nice Paths (easy version),1811,G1,N/A,"combinatorics, dp, math"
Is It Flower?,1811,F,N/A,"dfs and similar, graphs, implementation"
Living Sequence,1811,E,N/A,"binary search, dp, math, number theory"
Umka and a Long Flight,1811,D,N/A,"constructive algorithms, implementation, math"
Restore the Array,1811,C,N/A,"constructive algorithms, greedy"
Conveyor Belts,1811,B,N/A,"implementation, math"
Insert Digit,1811,A,N/A,"greedy, math, strings"
Last Number,1810,H,N/A,"combinatorics, math"
The Maximum Prefix,1810,G,N/A,dp
M-tree,1810,F,N/A,"data structures, math, sortings, trees"
Monsters,1810,E,N/A,"brute force, data structures, dfs and similar, dsu, graphs, greedy"
Climbing the Tree,1810,D,N/A,"binary search, math"
Make It Permutation,1810,C,N/A,"brute force, greedy, sortings"
Candies,1810,B,N/A,"constructive algorithms, math, number theory"
Beautiful Sequence,1810,A,N/A,"brute force, greedy"
Prediction,1809,G,N/A,"combinatorics, dp, math"
Traveling in Berland,1809,F,N/A,"binary search, data structures, graphs, greedy, implementation"
Two Tanks,1809,E,N/A,"binary search, dp, implementation, math"
Binary String Sorting,1809,D,N/A,"constructive algorithms, greedy"
Sum on Subarrays,1809,C,N/A,"constructive algorithms, greedy, math"
Points on Plane,1809,B,N/A,"binary search, greedy, math"
Garland,1809,A,N/A,implementation
Minibuses on Venus (hard version),1808,E3,N/A,"brute force, combinatorics, dp, math"
Minibuses on Venus (medium version),1808,E2,N/A,"combinatorics, divide and conquer, dp, matrices"
Minibuses on Venus (easy version),1808,E1,N/A,"combinatorics, divide and conquer, dp"
"Petya, Petya, Petr, and Palindromes",1808,D,N/A,"binary search, brute force, data structures, two pointers"
Unlucky Numbers,1808,C,N/A,"brute force, dp, greedy, implementation"
Playing in a Casino,1808,B,N/A,"math, sortings"
Lucky Numbers,1808,A,N/A,"brute force, implementation"
Subsequence Addition (Hard Version),1807,G2,N/A,"bitmasks, dp, greedy, implementation, sortings"
Subsequence Addition (Easy Version),1807,G1,N/A,"brute force, data structures, dp, greedy, implementation, sortings"
Bouncy Ball,1807,F,N/A,"brute force, dfs and similar, implementation"
Interview,1807,E,N/A,"binary search, implementation, interactive"
Odd Queries,1807,D,N/A,"data structures, implementation"
Find and Replace,1807,C,N/A,"greedy, implementation, strings"
Grab the Candies,1807,B,N/A,greedy
Plus or Minus,1807,A,N/A,implementation
GCD Master (hard version),1806,F2,N/A,"greedy, math, sortings"
GCD Master (easy version),1806,F1,N/A,"greedy, math, number theory, sortings"
Tree Master,1806,E,N/A,"brute force, data structures, dfs and similar, trees"
DSU Master,1806,D,N/A,"combinatorics, dp, dsu, math"
Sequence Master,1806,C,N/A,"brute force, constructive algorithms, math"
Mex Master,1806,B,N/A,"constructive algorithms, greedy"
Walking Master,1806,A,N/A,"geometry, greedy, math"
Survival of the Weakest (hard version),1805,F2,N/A,"greedy, math, sortings, two pointers"
Survival of the Weakest (easy version),1805,F1,N/A,"binary search, brute force, implementation, math, sortings"
There Should Be a Lot of Maximums,1805,E,N/A,"brute force, data structures, dfs and similar, dp, trees, two pointers"
"A Wide, Wide Graph",1805,D,N/A,"dfs and similar, dp, graphs, greedy, trees"
Place for a Selfie,1805,C,N/A,"binary search, data structures, geometry, math"
The String Has a Target,1805,B,N/A,"greedy, strings"
We Need the Zero,1805,A,N/A,"bitmasks, brute force"
Code Lock,1804,H,N/A,"bitmasks, dp"
Flow Control,1804,G,N/A,"data structures, dsu, implementation"
Approximate Diameter,1804,F,N/A,"binary search, divide and conquer, graphs, shortest paths"
Routing,1804,E,N/A,"bitmasks, brute force, dfs and similar, dp, graphs"
Accommodation,1804,D,N/A,"brute force, dp, greedy, implementation"
Pull Your Luck,1804,C,N/A,"brute force, greedy, math, number theory"
Vaccination,1804,B,N/A,"greedy, implementation"
Lame King,1804,A,N/A,"greedy, math"
Settlement of Guinea Pigs,1802,B,N/A,"greedy, implementation, math"
Likes,1802,A,N/A,"greedy, implementation"
A task for substrings,1801,G,N/A,"data structures, string suffix structures, strings"
Another n-dimensional chocolate bar,1801,F,N/A,"dp, math, meet-in-the-middle, number theory"
Gasoline prices,1801,E,N/A,"data structures, divide and conquer, dsu, hashing, trees"
The way home,1801,D,N/A,"binary search, data structures, dp, graphs, greedy, shortest paths, sortings"
Music Festival,1801,C,N/A,"binary search, data structures, dp, greedy, sortings"
Buying gifts,1801,B,N/A,"data structures, greedy, sortings"
The Very Beautiful Blanket,1801,A,N/A,"bitmasks, constructive algorithms"
Symmetree,1800,G,N/A,"dfs and similar, hashing, implementation, trees"
Dasha and Nightmares,1800,F,N/A,"bitmasks, hashing, meet-in-the-middle, strings"
Unforgivable Curse (hard version),1800,E2,N/A,"brute force, constructive algorithms, dfs and similar, dsu, graphs, greedy, strings"
Unforgivable Curse (easy version),1800,E1,N/A,"brute force, constructive algorithms, dsu, graphs, greedy, strings"
Remove Two Letters,1800,D,N/A,"data structures, greedy, hashing, strings"
Powering the Hero (hard version),1800,C2,N/A,"data structures, greedy"
Powering the Hero (easy version),1800,C1,N/A,"data structures, greedy"
Count the Number of Pairs,1800,B,N/A,"greedy, strings"
Is It a Cat?,1800,A,N/A,"implementation, strings"
Tree Cutting,1799,H,N/A,"bitmasks, dfs and similar, dp"
Count Voting,1799,G,N/A,"combinatorics, dp, math"
Halve or Subtract,1799,F,N/A,"binary search, brute force, dp, greedy, sortings"
City Union,1799,E,N/A,"constructive algorithms, dfs and similar, dsu, geometry, greedy, implementation, math"
Hot Start Up (hard version),1799,D2,N/A,"data structures, dp"
Hot Start Up (easy version),1799,D1,N/A,dp
Double Lexicographically Minimum,1799,C,N/A,"greedy, strings"
Equalize by Divide,1799,B,N/A,"brute force, constructive algorithms, greedy, math"
Recent Actions,1799,A,N/A,"data structures, greedy, implementation, math"
Gifts from Grandfather Ahmed,1798,F,N/A,"dp, math, number theory"
Multitest Generator,1798,E,N/A,"brute force, dp"
Shocking Arrangement,1798,D,N/A,"constructive algorithms, greedy, math"
Candy Store,1798,C,N/A,"greedy, math, number theory"
Three Sevens,1798,B,N/A,"brute force, data structures, greedy, implementation"
Showstopper,1798,A,N/A,"greedy, implementation, sortings"
Li Hua and Path,1797,F,N/A,"data structures, dfs and similar, divide and conquer, dsu, trees"
Li Hua and Array,1797,E,N/A,"brute force, data structures, dsu, math, number theory, two pointers"
Li Hua and Tree,1797,D,N/A,"brute force, data structures, dfs and similar, dp, implementation, trees"
Li Hua and Chess,1797,C,N/A,"constructive algorithms, greedy, interactive"
Li Hua and Pattern,1797,B,N/A,"constructive algorithms, greedy"
Li Hua and Maze,1797,A,N/A,"constructive algorithms, flows, graphs, greedy, implementation"
Strange Triples,1796,F,N/A,"brute force, math, number theory"
Colored Subgraphs,1796,E,N/A,"dfs and similar, dp, games, greedy, trees"
Maximum Subarray,1796,D,N/A,"data structures, dp, greedy, two pointers"
Maximum Set,1796,C,N/A,"binary search, math"
Asterisk-Minor Template,1796,B,N/A,"implementation, strings"
Typical Interview Problem,1796,A,N/A,"brute force, implementation, strings"
Removal Sequences,1795,G,N/A,"bitmasks, dfs and similar, graphs"
Blocking Chips,1795,F,N/A,"binary search, constructive algorithms, dfs and similar, greedy, trees"
Explosions?,1795,E,N/A,"binary search, data structures, dp, greedy, math"
Triangle Coloring,1795,D,N/A,"combinatorics, math"
Tea Tasting,1795,C,N/A,"binary search, data structures, implementation"
Ideal Point,1795,B,N/A,"brute force, geometry, greedy"
Two Towers,1795,A,N/A,"brute force, implementation, strings"
Labeling the Tree with Distances,1794,E,N/A,"data structures, dp, greedy, hashing, implementation, trees"
Counting Factorizations,1794,D,N/A,"combinatorics, divide and conquer, dp, math, number theory"
Scoring Subsequences,1794,C,N/A,"binary search, greedy, math, two pointers"
Not Dividing,1794,B,N/A,"constructive algorithms, greedy, math"
Prefix and Suffix Array,1794,A,N/A,strings
Rebrending,1793,F,N/A,"brute force, data structures, divide and conquer, implementation"
Velepin and Marketing,1793,E,N/A,"binary search, data structures, dp, greedy, sortings, two pointers"
Moscow Gorillas,1793,D,N/A,"binary search, dp, greedy, implementation, math, two pointers"
Dora and Search,1793,C,N/A,"constructive algorithms, data structures, two pointers"
Fedya and Array,1793,B,N/A,"constructive algorithms, math"
Yet Another Promotion,1793,A,N/A,"greedy, math"
Graph Coloring (hard version),1792,F2,N/A,"brute force, combinatorics, divide and conquer, dp, fft, graphs"
Graph Coloring (easy version),1792,F1,N/A,"combinatorics, dp, graphs"
Divisors and Table,1792,E,N/A,"brute force, dfs and similar, dp, number theory"
Fixed Prefix Permutations,1792,D,N/A,"binary search, bitmasks, data structures, hashing, math, sortings"
Min Max Sort,1792,C,N/A,"binary search, brute force, greedy, math, two pointers"
Stand-up Comedian,1792,B,N/A,"greedy, math"
GamingForces,1792,A,N/A,"greedy, sortings"
Teleporters (Hard Version),1791,G2,N/A,"binary search, greedy, sortings"
Teleporters (Easy Version),1791,G1,N/A,"greedy, sortings"
Range Update Point Query,1791,F,N/A,"binary search, brute force, data structures"
Negatives and Positives,1791,E,N/A,"dp, greedy, sortings"
Distinct Split,1791,D,N/A,"brute force, greedy, strings"
Prepend and Append,1791,C,N/A,"implementation, two pointers"
Following Directions,1791,B,N/A,"geometry, implementation"
Codeforces Checking,1791,A,N/A,"implementation, strings"
Tokens on Graph,1790,G,N/A,"constructive algorithms, dfs and similar, graphs, shortest paths"
Timofey and Black-White Tree,1790,F,N/A,"brute force, dfs and similar, divide and conquer, graphs, greedy, math, shortest paths, trees"
Vlad and a Pair of Numbers,1790,E,N/A,"bitmasks, constructive algorithms"
Matryoshkas,1790,D,N/A,"data structures, greedy, sortings"
Premutation,1790,C,N/A,"brute force, implementation, math"
Taisia and Dice,1790,B,N/A,"greedy, greedy, math"
Polycarp and the Day of Pi,1790,A,N/A,"implementation, math, strings"
Serval and Brain Power,1789,F,N/A,"bitmasks, brute force, dp, greedy, implementation, strings"
Serval and Music Game,1789,E,N/A,"brute force, dp, implementation, math, number theory"
Serval and Shift-Shift-Shift,1789,D,N/A,"bitmasks, brute force, constructive algorithms, implementation"
Serval and Toxel's Arrays,1789,C,N/A,"combinatorics, dp, implementation, math"
Serval and Inversion Magic,1789,B,N/A,"brute force, implementation, strings, two pointers"
Serval and Mocha's Array,1789,A,N/A,"brute force, math, number theory"
"XOR, Tree, and Queries",1788,F,N/A,"bitmasks, constructive algorithms, dfs and similar, dsu, graphs, greedy, implementation, trees"
Sum Over Zero,1788,E,N/A,"data structures, dfs and similar, dp"
Moving Dots,1788,D,N/A,"binary search, brute force, combinatorics, math, two pointers"
Matching Numbers,1788,C,N/A,"constructive algorithms, greedy, math"
Sum of Two Numbers,1788,B,N/A,"constructive algorithms, greedy, implementation, math, probabilities"
One and Two,1788,A,N/A,"brute force, implementation, math"
Treasure Hunt,1787,I,N/A,"data structures, divide and conquer, two pointers"
Codeforces Scoreboard,1787,H,N/A,"binary search, data structures, dp, geometry"
Colorful Tree Again,1787,G,N/A,"brute force, data structures, trees"
Inverse Transformation,1787,F,N/A,"constructive algorithms, implementation, math"
The Harmonization of XOR,1787,E,N/A,"bitmasks, constructive algorithms, greedy, math"
Game on Axis,1787,D,N/A,"combinatorics, dfs and similar, dsu, graphs, implementation"
Remove the Bracket,1787,C,N/A,"dp, greedy, math"
Number Factorization,1787,B,N/A,"greedy, math, number theory"
Exponential Equation,1787,A,N/A,"constructive algorithms, math"
Cake Assembly Line,1786,B,N/A,"brute force, sortings"
Alternating Deck (hard version),1786,A2,N/A,implementation
Non-alternating Deck (easy version),1786,A1,N/A,implementation
Minimums or Medians,1784,F,N/A,
Infinite Game,1784,E,N/A,"brute force, combinatorics, dp, games, probabilities"
Wooden Spoon,1784,D,N/A,"combinatorics, dp"
Monsters (hard version),1784,C,N/A,"data structures, greedy"
Letter Exchange,1784,B,N/A,constructive algorithms
Monsters (easy version),1784,A,N/A,"brute force, greedy"
Weighed Tree Radius,1783,G,N/A,"data structures, divide and conquer, implementation, trees"
